id,operacional_system,processor,memory,graphics,fk_game_id
f2546a46804147bfb6ab74937caf92952,Windows XP / Vista / 7 / 8,2 Ghz Dual Core or higher,512 MB RAM,,650 MB available space,f2546a46804147bfb6ab74937caf9295
c071ea77ba2f4983b4515eae0f4216b61,Windows® 7 (SP1) / Windows® 8 / Windows® 8.1 / (64-bit only),2.6 GHz Intel® Core™ i5-750 or 3.2 GHz AMD Phenom™ II X4 955,4 GB RAM, NVIDIA GeForce GTX 460 or AMD Radeon HD5850 (1 GB VRAM),30 GB available space,c071ea77ba2f4983b4515eae0f4216b6
c071ea77ba2f4983b4515eae0f4216b62,Windows® 7 (SP1) / Windows® 8 / Windows® 8.1 / (64-bit only),2.5 GHz Intel® Core™ i5-2400S or 4.0 GHz AMD FX-8350 or better,8 GB RAM, NVIDIA GeForce GTX 680 or AMD Radeon R9 290X or better (2 GB VRAM),30 GB available space,c071ea77ba2f4983b4515eae0f4216b6
afe468383a89436e889fd8d9d06d827e1,Windows 7,Dual-core 2.0 GHz,,2 GB RAM,5 GB available space,afe468383a89436e889fd8d9d06d827e
afe468383a89436e889fd8d9d06d827e2,Windows 7 64-bit,Quad-core 3.0 GHz,,4 GB RAM,8 GB available space,afe468383a89436e889fd8d9d06d827e
86911468c5d04a1d8a4e78eb45ceb9551,Windows 7 64-bit or later,"Dual-core Intel or AMD processor, 2.5 GHz or faster",4GB,DirectX 11 compatible GPU,,86911468c5d04a1d8a4e78eb45ceb955
86911468c5d04a1d8a4e78eb45ceb9552,Windows 7 64-bit or later,"Dual-core Intel or AMD processor, 2.5 GHz or faster",4GB,DirectX 11 compatible GPU,,86911468c5d04a1d8a4e78eb45ceb955
9a85e064672249f6976b92c2d8db56b51,Windows 7 64-bit or later,"Dual-core Intel or AMD processor, 2.5 GHz or faster",4GB,DirectX 11 compatible GPU,,9a85e064672249f6976b92c2d8db56b5
9a85e064672249f6976b92c2d8db56b52,Windows 7 64-bit or later,"Dual-core Intel or AMD processor, 2.5 GHz or faster",4GB,DirectX 11 compatible GPU,,9a85e064672249f6976b92c2d8db56b5
5de1872a341c4536809185219ef712221,Windows XP,Intel Pentium E2180 2.0 GHz,500 MB RAM,Intel HD Graphics 4400,300 MB available space,5de1872a341c4536809185219ef71222
5de1872a341c4536809185219ef712222,Windows XP,Intel Pentium E2180 2.0 GHz,500 MB RAM,Intel HD Graphics 4400,300 MB available space,5de1872a341c4536809185219ef71222
bc42dc435f324da6b5e623c4f5a01d6e1,"Windows Vista, 7 or 8 (64-bit only)",Dual Core CPU (2.2+ GHz Dual Core CPU or better),2 GB RAM,"DirectX 10, Shader Model 4 compliant graphics cards (GeForce 8800 GT 512 MB, GeForce GTS 250, etc)",10 GB available space,bc42dc435f324da6b5e623c4f5a01d6e
bc42dc435f324da6b5e623c4f5a01d6e2,Windows 7 or 8 (64-bit only),Any Quad Core or 3.0+ GHz Dual Core CPU,4 GB RAM,DirectX 11 compliant graphics card (GeForce GTX 480 and above),10 GB available space,bc42dc435f324da6b5e623c4f5a01d6e
f036adb25c9347c69344b7642cb31e641,"Win 7 SP1, Win 8.1 (64-bit Operating System Required)","Intel Core i5-750, 2.67 GHz | AMD Phenom II X4 965, 3.4 GHz",6 GB RAM,Graphics: NVIDIA GeForce GTX 660 (2 GB Memory Minimum) | AMD Radeon HD 7870 (2 GB Memory Minimum),45 GB available space,f036adb25c9347c69344b7642cb31e64
f036adb25c9347c69344b7642cb31e642,"Win 7 SP1, Win 8.1 (64-bit Operating System Required)","Intel Core i7-3770, 3.4 GHz | AMD FX-8350, 4.0 GHz",8 GB RAM,NVIDIA GeForce GTX 760 - 3 GB Memory Recommended | AMD Radeon HD 7950 - 3 GB Memory Recommended,55 GB available space,f036adb25c9347c69344b7642cb31e64
e3fdf1e813a54f44b71f30a411e9c23e1,Windows XP SP3 or Windows Vista SP2 or Windows 7 SP1 or Windows 8 (both 32/64bit versions),Intel Pentium IV 630 @ 3.0 GHz or AMD Athlon64 3000 + @ 1.8 GHz,2 GB RAM,nVidia GeForce 8800 GT or AMD Radeon HD2900 XT (512MB VRAM),2 GB available space,e3fdf1e813a54f44b71f30a411e9c23e
